Opponent                                                          Count
Central College                                                   7
Carleton College                                                  6
Coe College                                                       6
Simpson College                                                   6
Wartburg College                                                  6
Loras College                                                     6
St. Olaf College                                                  5
UW-Platteville                                                    5
Macalester College                                                5
Buena Vista University                                            5
University of Dubuque                                             5
St. Mary's University                                             4
University of St. Thomas                                          3
St. John's University                                             3
Augsburg College                                                  3
St. Scholastica - Recap                                           2
St. Olaf College - Recap                                          2
UW-Whitewater - Recap                                             2
Wheaton College - Recap                                           2
Nebraska Wesleyan University - Recap                              2
UW-Platteville - Recap                                            2
Buena Vista University - Recap                                    2
Loras College - Recap                                             2
Simpson College - Recap                                           2
Wartburg College - Recap                                          2
Macalester College - Recap                                        2
Coe College - Recap                                               2
Central College - Recap                                           2
University of Dubuque - Recap                                     2
Knox College                                                      2
Webster University                                                2
IIAC Tournament Championship vs. Loras                            2
Lawrence University                                               2
Marian University                                                 2
Waldorf College                                                   2
Cornell College                                                   2
UW-Superior - Recap                                               1
Gustavus Adolphus College - Recap                                 1
Carroll University - Recap                                        1
University of St. Thomas - Recap                                  1
American Rivers Conference Tournament Semifinals vs. Wartburg     1
American Rivers Conference Tournament Championship at Loras - Recap 1
NCAA III National Tournament vs. Knox College                     1
NCAA III National Tournament Second Round vs. Dominican University - Recap 1
NCAA III Men's Soccer Tournament Sectional vs. University of St. Thomas - Recap 1
NCAA III National Tournament Sectional Final vs. U of Chicago - Recap 1
Grinnell College (Exhibition)                                     1
NIACC (Exhibition)                                                1
Cornell College (Exhibition)                                      1
Colorado College - Recap                                          1
University of Washington-St. Louis - Recap                        1
Gustavus Adolphus - Recap                                         1
Carleton College - Recap                                          1
IIAC Tournament - Semifinals vs. Nebraska Wesleyan                1
IIAC Tournament - Championship vs. Loras - Recap                  1
Hamline University                                                1
Saint John's University                                           1
UW-Whitewater                                                     1
Washington University                                             1
Nebraska Wesleyan University                                      1
IIAC Tournament Quarter Finals vs. Wartburg                       1
IIAC Tournament Semifinals at Dubuque                             1
NCAA III National Tournament vs. St. Norbert                      1
NCAA III National Tournament vs. St. Thomas                       1
UW- Superior                                                      1
Edgewood College                                                  1
UW- Platteville                                                   1
UW- Oshkosh                                                       1
IIAC Tournament - 1st Round vs. Coe                               1
IIAC Tournament - Semifinal at Dubuque                            1
UW-Superior                                                       1
University of Jamestown (ND)                                      1
IIAC Tournament - Quarterfinals vs. Central                       1
IIAC Tournament - Semifinals vs. Wartburg                         1
NCAA III National Tournament                                      1
Trinity University (TX)                                           1
Southwestern University (TX)                                      1
IIAC Tournament - First Round vs. Central                         1
IIAC Tournament - Semifinals at Wartburg                          1
NCAA III National Tournament First Round                          1
NCAA III National Tournament Second Round - Loras College         1
UM-Morris                                                         1
Nebraska Wesleyan                                                 1
First Round of IIAC Tournament vs. Central                        1
NIACC (exhibition)                                                1
Grinnell (exhibition)                                             1
Northwestern College                                              1
Macalaster College                                                1
St Olaf College                                                   1
Jamestown College                                                 1
Dubuque                                                           1
Clarke University                                                 1
Buena Vista                                                       1
IIAC Tournament Semi-Finals vs. Wartburg                          1
NCAA III Tournament vs. North Park                                1
NCAA III Tournament vs. St. Olaf                                  1
NCAA Championship Sectional vs. Hope College                      1
